,subj,Q_A,Q_E,Q_I,Q_O,condition,radio_A,radio_E,radio_I,radio_O,rt,trial_domain,trial_index,trial_syll,trial_type,domain,syll
245,s61,100,95,96,51,radio,0,1,0,0,39777,['lightbulbs'],1,['EA1'],survey-slider,lightbulbs,EA1
246,s61,100,98,98,99,radio,1,0,0,0,31238,['crackers'],2,['AA1'],survey-slider,crackers,AA1
247,s61,50,100,100,100,radio,0,0,1,1,101484,['strawberries'],3,['AI1'],survey-slider,strawberries,AI1
248,s62,100,66,73,83,radio,0,0,0,1,176751,['lightbulbs'],0,['EI1'],survey-slider,lightbulbs,EI1
249,s62,95,98,98,98,radio,1,0,0,0,47247,['strawberries'],1,['AA1'],survey-slider,strawberries,AA1
250,s62,99,99,98,62,radio,0,1,0,0,57030,['crackers'],2,['EA1'],survey-slider,crackers,EA1
251,s62,97,94,99,68,radio,0,0,1,1,52974,['knives'],3,['AI1'],survey-slider,knives,AI1
252,s63,93,76,65,59,radio,1,0,1,0,108508,['knives'],0,['AA1'],survey-slider,knives,AA1
253,s63,97,97,11,85,radio,0,1,0,1,40744,['strawberries'],1,['EI1'],survey-slider,strawberries,EI1
254,s63,92,70,11,84,radio,0,1,0,1,68232,['crackers'],2,['EA1'],survey-slider,crackers,EA1
255,s63,91,86,82,78,radio,1,0,1,0,51330,['lightbulbs'],3,['AI1'],survey-slider,lightbulbs,AI1
256,s64,94,97,51,95,radio,0,0,1,1,352368,['crackers'],0,['EI1'],survey-slider,crackers,EI1
257,s64,82,95,84,80,radio,0,1,0,1,239058,['knives'],1,['EA1'],survey-slider,knives,EA1
258,s64,87,96,76,85,radio,0,0,1,1,179934,['lightbulbs'],2,['AI1'],survey-slider,lightbulbs,AI1
259,s64,96,97,97,83,radio,1,0,1,0,253793,['strawberries'],3,['AA1'],survey-slider,strawberries,AA1
260,s65,90,91,82,86,radio,0,0,1,1,82369,['knives'],0,['EI1'],survey-slider,knives,EI1
261,s65,82,94,87,91,radio,0,0,1,1,47101,['lightbulbs'],1,['AI1'],survey-slider,lightbulbs,AI1
262,s65,92,99,93,48,radio,0,1,0,1,66264,['crackers'],2,['EA1'],survey-slider,crackers,EA1
263,s65,83,74,96,82,radio,1,0,1,1,60560,['strawberries'],3,['AA1'],survey-slider,strawberries,AA1
264,s66,88,98,71,100,radio,1,0,1,0,65636,['crackers'],0,['AA1'],survey-slider,crackers,AA1
265,s66,94,74,97,60,radio,0,0,0,1,21637,['strawberries'],1,['AI1'],survey-slider,strawberries,AI1
266,s66,95,57,97,61,radio,1,0,1,0,19068,['knives'],2,['EI1'],survey-slider,knives,EI1
267,s66,59,99,88,95,radio,0,0,1,0,11842,['lightbulbs'],3,['EA1'],survey-slider,lightbulbs,EA1
268,s67,95,53,96,97,radio,1,0,0,0,242170,['crackers'],0,['AI1'],survey-slider,crackers,AI1
269,s67,99,97,5,93,radio,1,0,1,1,178873,['lightbulbs'],1,['EA1'],survey-slider,lightbulbs,EA1
270,s67,98,3,97,96,radio,0,0,0,1,129172,['knives'],2,['EI1'],survey-slider,knives,EI1
271,s67,96,2,97,97,radio,1,0,0,0,104162,['strawberries'],3,['AA1'],survey-slider,strawberries,AA1
272,s68,66,24,69,72,radio,0,0,1,1,79323,['crackers'],0,['EI1'],survey-slider,crackers,EI1
273,s68,89,88,62,63,radio,1,0,0,0,31974,['knives'],1,['AA1'],survey-slider,knives,AA1
274,s68,97,75,72,49,radio,0,1,0,0,36977,['lightbulbs'],2,['EA1'],survey-slider,lightbulbs,EA1
275,s68,76,33,62,39,radio,1,0,1,0,51373,['strawberries'],3,['AI1'],survey-slider,strawberries,AI1
276,s69,21,47,18,24,radio,0,0,0,0,59400,['strawberries'],0,['AI1'],survey-slider,strawberries,AI1
277,s69,72,51,72,39,radio,1,0,0,0,26445,['lightbulbs'],1,['EI1'],survey-slider,lightbulbs,EI1
278,s69,70,64,51,43,radio,1,0,0,0,23732,['crackers'],2,['AA1'],survey-slider,crackers,AA1
279,s69,47,83,26,66,radio,0,1,0,0,34309,['knives'],3,['EA1'],survey-slider,knives,EA1
280,s70,11,73,38,37,radio,1,0,1,1,38579,['crackers'],0,['EI1'],survey-slider,crackers,EI1
281,s70,77,80,81,38,radio,1,0,0,0,16434,['knives'],1,['AA1'],survey-slider,knives,AA1
282,s70,17,57,18,25,radio,0,1,0,1,17254,['strawberries'],2,['AI1'],survey-slider,strawberries,AI1
283,s70,54,98,76,85,radio,1,0,1,1,22712,['lightbulbs'],3,['EA1'],survey-slider,lightbulbs,EA1
284,s71,84,91,77,78,radio,1,0,0,0,44562,['crackers'],0,['AA1'],survey-slider,crackers,AA1
285,s71,80,85,80,82,radio,0,0,1,0,38561,['strawberries'],1,['AI1'],survey-slider,strawberries,AI1
286,s71,95,94,99,91,radio,1,0,0,0,41640,['lightbulbs'],2,['EA1'],survey-slider,lightbulbs,EA1
287,s71,93,90,79,88,radio,0,0,1,1,41877,['knives'],3,['EI1'],survey-slider,knives,EI1
288,s72,95,93,96,97,radio,1,0,1,0,35382,['crackers'],0,['AA1'],survey-slider,crackers,AA1
289,s72,69,95,98,82,radio,0,0,1,1,32619,['strawberries'],1,['AI1'],survey-slider,strawberries,AI1
290,s72,99,93,94,94,radio,0,1,0,1,23787,['knives'],2,['EA1'],survey-slider,knives,EA1
291,s72,74,74,98,93,radio,0,0,0,1,46019,['lightbulbs'],3,['EI1'],survey-slider,lightbulbs,EI1
292,s73,64,97,100,62,radio,0,1,0,0,105026,['strawberries'],0,['AA1'],survey-slider,strawberries,AA1
293,s73,63,100,75,100,radio,0,0,1,0,59143,['lightbulbs'],1,['AI1'],survey-slider,lightbulbs,AI1
294,s73,58,98,58,96,radio,0,1,0,1,67428,['knives'],2,['EA1'],survey-slider,knives,EA1
295,s73,100,96,99,98,radio,0,1,0,1,55424,['crackers'],3,['EI1'],survey-slider,crackers,EI1
296,s74,68,97,99,95,radio,1,0,1,0,63060,['crackers'],0,['AA1'],survey-slider,crackers,AA1
297,s74,99,97,100,97,radio,1,0,1,0,40505,['lightbulbs'],1,['AI1'],survey-slider,lightbulbs,AI1
298,s74,97,100,100,97,radio,0,0,1,1,52001,['knives'],2,['EI1'],survey-slider,knives,EI1
299,s74,100,100,100,100,radio,0,1,0,1,45728,['strawberries'],3,['EA1'],survey-slider,strawberries,EA1
300,s75,97,93,98,93,radio,0,0,1,0,170799,['strawberries'],0,['AI1'],survey-slider,strawberries,AI1
301,s75,99,92,95,96,radio,0,1,0,1,80077,['crackers'],1,['EI1'],survey-slider,crackers,EI1
302,s75,97,99,97,95,radio,1,0,0,0,84466,['lightbulbs'],2,['AA1'],survey-slider,lightbulbs,AA1
303,s75,98,96,97,95,radio,0,1,0,0,141469,['knives'],3,['EA1'],survey-slider,knives,EA1
304,s76,96,98,94,100,radio,0,0,1,0,115056,['lightbulbs'],0,['AA1'],survey-slider,lightbulbs,AA1
305,s76,98,95,93,94,radio,1,0,0,0,82184,['crackers'],1,['AI1'],survey-slider,crackers,AI1
306,s76,96,98,96,97,radio,0,0,1,1,80867,['knives'],2,['EI1'],survey-slider,knives,EI1
307,s76,93,97,96,94,radio,0,1,0,0,82567,['strawberries'],3,['EA1'],survey-slider,strawberries,EA1
308,s77,45,68,70,46,radio,0,0,1,1,89989,['strawberries'],0,['AI1'],survey-slider,strawberries,AI1
309,s77,99,96,93,96,radio,0,0,1,1,43772,['knives'],1,['EI1'],survey-slider,knives,EI1
310,s77,96,99,61,97,radio,1,0,0,0,80523,['lightbulbs'],2,['AA1'],survey-slider,lightbulbs,AA1
311,s77,93,99,63,64,radio,0,1,0,1,51829,['crackers'],3,['EA1'],survey-slider,crackers,EA1
312,s78,93,99,99,54,radio,1,0,0,0,64739,['knives'],0,['AA1'],survey-slider,knives,AA1
313,s78,97,100,99,98,radio,0,1,0,0,79266,['strawberries'],1,['EA1'],survey-slider,strawberries,EA1
314,s78,95,55,100,61,radio,0,0,1,1,72926,['crackers'],2,['EI1'],survey-slider,crackers,EI1
315,s78,93,60,94,82,radio,0,0,1,1,46834,['lightbulbs'],3,['AI1'],survey-slider,lightbulbs,AI1
316,s79,100,100,100,100,radio,0,1,0,1,46926,['crackers'],0,['EA1'],survey-slider,crackers,EA1
317,s79,100,100,100,100,radio,1,0,1,0,40173,['knives'],1,['AA1'],survey-slider,knives,AA1
318,s79,100,100,100,100,radio,1,0,1,0,28707,['lightbulbs'],2,['EI1'],survey-slider,lightbulbs,EI1
319,s79,100,100,98,100,radio,0,0,1,1,34115,['strawberries'],3,['AI1'],survey-slider,strawberries,AI1
320,s80,97,97,94,91,radio,1,0,1,1,64797,['lightbulbs'],0,['AA1'],survey-slider,lightbulbs,AA1
321,s80,95,98,94,95,radio,1,0,1,0,77462,['knives'],1,['AI1'],survey-slider,knives,AI1
322,s80,99,100,100,100,radio,0,0,0,1,121076,['crackers'],2,['EA1'],survey-slider,crackers,EA1
323,s80,100,100,100,100,radio,0,1,0,1,53236,['strawberries'],3,['EI1'],survey-slider,strawberries,EI1
324,s81,94,64,64,82,radio,1,0,0,0,84446,['knives'],0,['AA1'],survey-slider,knives,AA1
325,s81,95,98,68,93,radio,0,0,0,1,95425,['crackers'],1,['EI1'],survey-slider,crackers,EI1
326,s81,100,98,95,97,radio,0,1,0,1,81823,['lightbulbs'],2,['EA1'],survey-slider,lightbulbs,EA1
327,s81,97,91,96,67,radio,0,0,1,1,54282,['strawberries'],3,['AI1'],survey-slider,strawberries,AI1
328,s82,99,76,61,97,radio,0,0,0,1,114219,['strawberries'],0,['EI1'],survey-slider,strawberries,EI1
329,s82,67,99,71,96,radio,0,0,1,0,124541,['crackers'],1,['AA1'],survey-slider,crackers,AA1
330,s82,96,66,92,80,radio,0,0,1,1,100276,['lightbulbs'],2,['AI1'],survey-slider,lightbulbs,AI1
331,s82,83,95,81,71,radio,0,1,0,0,59433,['knives'],3,['EA1'],survey-slider,knives,EA1
332,s83,28,92,28,42,radio,0,1,0,0,253258,['knives'],0,['EI1'],survey-slider,knives,EI1
333,s83,41,48,92,39,radio,0,0,1,0,84966,['lightbulbs'],1,['AI1'],survey-slider,lightbulbs,AI1
334,s83,41,97,37,47,radio,0,1,0,0,92732,['strawberries'],2,['EA1'],survey-slider,strawberries,EA1
335,s83,47,47,45,94,radio,0,0,0,1,62505,['crackers'],3,['AA1'],survey-slider,crackers,AA1
336,s84,95,94,80,93,radio,0,0,1,1,329762,['strawberries'],0,['EI1'],survey-slider,strawberries,EI1
337,s84,98,99,98,79,radio,0,0,1,1,198643,['knives'],1,['AI1'],survey-slider,knives,AI1
338,s84,98,98,100,97,radio,1,1,0,0,139538,['lightbulbs'],2,['AA1'],survey-slider,lightbulbs,AA1
339,s84,96,97,94,96,radio,0,1,0,1,143327,['crackers'],3,['EA1'],survey-slider,crackers,EA1
340,s85,91,75,59,91,radio,0,0,0,1,137581,['crackers'],0,['EA1'],survey-slider,crackers,EA1
341,s85,92,76,41,94,radio,0,0,1,1,108280,['knives'],1,['EI1'],survey-slider,knives,EI1
342,s85,85,48,53,34,radio,0,0,1,1,137569,['lightbulbs'],2,['AI1'],survey-slider,lightbulbs,AI1
343,s85,93,95,90,93,radio,1,0,1,0,53656,['strawberries'],3,['AA1'],survey-slider,strawberries,AA1
344,s86,46,93,95,41,radio,0,0,1,1,117715,['knives'],0,['AI1'],survey-slider,knives,AI1
345,s86,95,93,97,97,radio,1,0,1,0,73155,['strawberries'],1,['AA1'],survey-slider,strawberries,AA1
346,s86,93,95,99,91,radio,0,0,1,1,118599,['lightbulbs'],2,['EI1'],survey-slider,lightbulbs,EI1
347,s86,93,92,95,95,radio,0,1,0,1,88394,['crackers'],3,['EA1'],survey-slider,crackers,EA1
348,s87,96,100,44,51,radio,1,0,0,0,146931,['strawberries'],0,['AA1'],survey-slider,strawberries,AA1
349,s87,95,100,95,82,radio,0,0,1,1,95560,['crackers'],1,['EI1'],survey-slider,crackers,EI1
350,s87,84,83,53,90,radio,0,1,0,0,61077,['knives'],2,['EA1'],survey-slider,knives,EA1
351,s87,61,65,93,56,radio,0,0,1,1,50337,['lightbulbs'],3,['AI1'],survey-slider,lightbulbs,AI1
352,s88,92,98,95,94,radio,0,1,0,0,22967,['crackers'],0,['AI1'],survey-slider,crackers,AI1
353,s88,99,96,99,100,radio,0,0,0,1,45803,['knives'],1,['EI1'],survey-slider,knives,EI1
354,s88,96,98,99,95,radio,0,0,0,1,26139,['lightbulbs'],2,['AA1'],survey-slider,lightbulbs,AA1
355,s88,91,93,99,94,radio,0,1,0,1,16262,['strawberries'],3,['EA1'],survey-slider,strawberries,EA1
356,s89,97,97,99,97,radio,0,0,1,0,81342,['strawberries'],0,['AI1'],survey-slider,strawberries,AI1
357,s89,98,96,97,97,radio,0,1,0,0,134319,['lightbulbs'],1,['EA1'],survey-slider,lightbulbs,EA1
358,s89,99,97,99,97,radio,1,0,1,0,41449,['knives'],2,['AA1'],survey-slider,knives,AA1
359,s89,91,97,96,97,radio,0,1,0,0,97363,['crackers'],3,['EI1'],survey-slider,crackers,EI1
360,s90,78,80,100,85,radio,0,0,1,1,60073,['lightbulbs'],0,['EI1'],survey-slider,lightbulbs,EI1
361,s90,76,97,100,78,radio,0,1,1,0,95305,['strawberries'],1,['EA1'],survey-slider,strawberries,EA1
362,s90,100,100,53,63,radio,1,0,0,0,56844,['crackers'],2,['AA1'],survey-slider,crackers,AA1
363,s90,46,70,77,53,radio,0,0,1,1,58271,['knives'],3,['AI1'],survey-slider,knives,AI1
364,s91,95,73,72,96,radio,0,0,0,0,29829,['strawberries'],0,['AI1'],survey-slider,strawberries,AI1
365,s91,74,65,69,95,radio,0,0,1,0,15817,['knives'],1,['EA1'],survey-slider,knives,EA1
366,s91,97,91,94,89,radio,0,1,0,0,15931,['crackers'],2,['EI1'],survey-slider,crackers,EI1
367,s91,97,94,92,93,radio,0,0,0,0,20303,['lightbulbs'],3,['AA1'],survey-slider,lightbulbs,AA1
368,s92,98,95,78,90,radio,0,0,1,1,163242,['lightbulbs'],0,['EI1'],survey-slider,lightbulbs,EI1
369,s92,94,97,99,96,radio,0,1,0,1,179591,['knives'],1,['EA1'],survey-slider,knives,EA1
370,s92,97,98,96,99,radio,0,0,1,1,74715,['strawberries'],2,['AI1'],survey-slider,strawberries,AI1
371,s92,96,93,99,97,radio,1,0,1,0,56515,['crackers'],3,['AA1'],survey-slider,crackers,AA1
372,s93,94,100,98,97,radio,0,1,0,1,142705,['strawberries'],0,['EI1'],survey-slider,strawberries,EI1
373,s93,94,93,94,94,radio,1,0,0,0,56524,['knives'],1,['AA1'],survey-slider,knives,AA1
374,s93,94,95,99,94,radio,0,1,0,1,72868,['crackers'],2,['EA1'],survey-slider,crackers,EA1
375,s93,94,98,98,92,radio,1,0,1,0,72182,['lightbulbs'],3,['AI1'],survey-slider,lightbulbs,AI1
376,s94,96,98,97,96,radio,0,1,0,1,155658,['strawberries'],0,['EA1'],survey-slider,strawberries,EA1
377,s94,97,98,96,96,radio,1,0,1,0,102817,['lightbulbs'],1,['AA1'],survey-slider,lightbulbs,AA1
378,s94,95,94,95,83,radio,0,0,1,0,341637,['knives'],2,['AI1'],survey-slider,knives,AI1
379,s94,96,98,96,96,radio,0,0,0,1,115175,['crackers'],3,['EI1'],survey-slider,crackers,EI1
380,s95,99,96,94,93,radio,1,0,1,0,69598,['strawberries'],0,['AA1'],survey-slider,strawberries,AA1
381,s95,98,94,93,90,radio,0,0,1,1,57684,['crackers'],1,['AI1'],survey-slider,crackers,AI1
382,s95,99,97,98,97,radio,0,1,0,0,61630,['lightbulbs'],2,['EA1'],survey-slider,lightbulbs,EA1
383,s95,96,99,96,93,radio,1,0,1,0,35765,['knives'],3,['EI1'],survey-slider,knives,EI1
384,s96,91,98,72,98,radio,1,0,1,0,113007,['knives'],0,['AA1'],survey-slider,knives,AA1
385,s96,97,97,97,80,radio,0,1,0,1,106417,['crackers'],1,['EA1'],survey-slider,crackers,EA1
386,s96,98,96,95,96,radio,0,1,0,1,57035,['strawberries'],2,['EI1'],survey-slider,strawberries,EI1
387,s96,98,98,87,99,radio,1,0,1,0,106332,['lightbulbs'],3,['AI1'],survey-slider,lightbulbs,AI1
388,s97,96,94,95,96,radio,1,0,0,0,259821,['strawberries'],0,['AA1'],survey-slider,strawberries,AA1
389,s97,98,76,79,99,radio,0,0,1,1,134850,['crackers'],1,['EI1'],survey-slider,crackers,EI1
390,s97,98,95,95,99,radio,1,0,1,0,83257,['lightbulbs'],2,['AI1'],survey-slider,lightbulbs,AI1
391,s97,97,95,94,93,radio,0,1,0,0,159923,['knives'],3,['EA1'],survey-slider,knives,EA1
392,s98,100,100,100,100,radio,0,1,0,1,173536,['strawberries'],0,['EA1'],survey-slider,strawberries,EA1
393,s98,100,100,100,100,radio,0,0,0,1,206960,['crackers'],1,['EI1'],survey-slider,crackers,EI1
394,s98,100,100,100,100,radio,1,0,1,0,178858,['lightbulbs'],2,['AA1'],survey-slider,lightbulbs,AA1
395,s98,100,100,100,100,radio,0,0,1,0,205034,['knives'],3,['AI1'],survey-slider,knives,AI1
396,s99,98,96,91,95,radio,0,0,1,1,102338,['lightbulbs'],0,['EI1'],survey-slider,lightbulbs,EI1
397,s99,98,97,95,97,radio,1,0,1,0,111270,['crackers'],1,['AA1'],survey-slider,crackers,AA1
398,s99,93,96,95,99,radio,1,0,1,1,76482,['knives'],2,['AI1'],survey-slider,knives,AI1
399,s99,100,94,98,99,radio,0,1,0,1,113841,['strawberries'],3,['EA1'],survey-slider,strawberries,EA1
400,s100,97,97,95,97,radio,0,0,0,1,113649,['crackers'],0,['EI1'],survey-slider,crackers,EI1
401,s100,98,99,100,100,radio,0,0,1,0,146635,['strawberries'],1,['AI1'],survey-slider,strawberries,AI1
402,s100,100,99,99,99,radio,0,1,0,1,58503,['knives'],2,['EA1'],survey-slider,knives,EA1
403,s100,98,99,100,99,radio,1,0,1,0,99534,['lightbulbs'],3,['AA1'],survey-slider,lightbulbs,AA1
404,s101,96,98,95,96,radio,1,0,0,0,61367,['strawberries'],0,['AA1'],survey-slider,strawberries,AA1
405,s101,100,57,56,98,radio,0,1,0,0,135625,['crackers'],1,['EA1'],survey-slider,crackers,EA1
406,s101,95,98,100,95,radio,0,0,1,1,60882,['lightbulbs'],2,['AI1'],survey-slider,lightbulbs,AI1
407,s101,97,98,96,93,radio,0,0,1,1,55182,['knives'],3,['EI1'],survey-slider,knives,EI1
408,s102,90,92,96,93,radio,1,1,0,1,120763,['lightbulbs'],0,['EA1'],survey-slider,lightbulbs,EA1
409,s102,70,89,79,91,radio,0,0,0,1,49734,['crackers'],1,['EI1'],survey-slider,crackers,EI1
410,s102,81,57,78,69,radio,1,0,0,0,159640,['knives'],2,['AI1'],survey-slider,knives,AI1
411,s102,92,92,97,97,radio,1,0,0,0,41983,['strawberries'],3,['AA1'],survey-slider,strawberries,AA1
412,s103,94,67,90,29,radio,1,0,1,0,81084,['knives'],0,['EI1'],survey-slider,knives,EI1
413,s103,97,94,90,78,radio,0,1,0,1,75072,['crackers'],1,['AA1'],survey-slider,crackers,AA1
414,s103,100,79,99,68,radio,0,1,0,1,55518,['strawberries'],2,['EA1'],survey-slider,strawberries,EA1
415,s103,100,85,77,77,radio,1,0,0,0,116805,['lightbulbs'],3,['AI1'],survey-slider,lightbulbs,AI1
416,s104,78,100,79,78,radio,0,0,0,1,181209,['crackers'],0,['EI1'],survey-slider,crackers,EI1
417,s104,90,100,100,100,radio,0,1,0,0,117410,['lightbulbs'],1,['EA1'],survey-slider,lightbulbs,EA1
418,s104,99,94,100,61,radio,1,0,1,0,75196,['strawberries'],2,['AA1'],survey-slider,strawberries,AA1
419,s104,74,91,95,87,radio,0,0,1,1,59691,['knives'],3,['AI1'],survey-slider,knives,AI1
420,s105,68,45,94,59,radio,0,1,1,0,67572,['strawberries'],0,['AI1'],survey-slider,strawberries,AI1
421,s105,28,7,17,32,radio,0,1,1,1,26896,['lightbulbs'],1,['EA1'],survey-slider,lightbulbs,EA1
422,s105,100,61,67,56,radio,0,1,0,1,30545,['crackers'],2,['AA1'],survey-slider,crackers,AA1
423,s105,78,91,80,87,radio,1,0,1,0,24035,['knives'],3,['EI1'],survey-slider,knives,EI1
424,s106,99,97,95,100,radio,1,0,1,0,75328,['knives'],0,['AA1'],survey-slider,knives,AA1
425,s106,98,97,73,97,radio,0,0,0,1,71375,['crackers'],1,['EI1'],survey-slider,crackers,EI1
426,s106,99,99,98,99,radio,0,1,0,0,31940,['strawberries'],2,['EA1'],survey-slider,strawberries,EA1
427,s106,74,96,89,99,radio,0,0,1,0,56160,['lightbulbs'],3,['AI1'],survey-slider,lightbulbs,AI1
428,s107,52,100,100,49,radio,0,0,1,1,93741,['crackers'],0,['AI1'],survey-slider,crackers,AI1
429,s107,100,100,100,100,radio,1,0,1,0,171397,['knives'],1,['AA1'],survey-slider,knives,AA1
430,s107,100,52,100,53,radio,0,0,0,0,179549,['strawberries'],2,['EA1'],survey-slider,strawberries,EA1
431,s107,53,100,100,100,radio,0,0,0,0,36945,['lightbulbs'],3,['EI1'],survey-slider,lightbulbs,EI1
432,s108,9,95,96,5,radio,0,0,1,0,128836,['lightbulbs'],0,['AI1'],survey-slider,lightbulbs,AI1
433,s108,97,97,5,97,radio,0,1,0,1,148777,['crackers'],1,['EI1'],survey-slider,crackers,EI1
434,s108,92,97,96,96,radio,0,1,0,1,102418,['strawberries'],2,['EA1'],survey-slider,strawberries,EA1
435,s108,95,98,85,92,radio,0,0,0,0,74690,['knives'],3,['AA1'],survey-slider,knives,AA1
436,s109,91,97,91,99,radio,1,0,1,0,66072,['lightbulbs'],0,['AA1'],survey-slider,lightbulbs,AA1
437,s109,53,95,100,56,radio,1,0,1,1,55088,['knives'],1,['AI1'],survey-slider,knives,AI1
438,s109,95,92,98,93,radio,0,1,0,1,36707,['strawberries'],2,['EA1'],survey-slider,strawberries,EA1
439,s109,90,68,51,97,radio,0,0,1,1,47778,['crackers'],3,['EI1'],survey-slider,crackers,EI1
440,s110,67,100,88,79,radio,0,1,1,1,273527,['knives'],0,['EA1'],survey-slider,knives,EA1
441,s110,94,20,66,59,radio,0,0,1,0,53420,['strawberries'],1,['AI1'],survey-slider,strawberries,AI1
442,s110,59,73,71,54,radio,1,1,0,0,56706,['crackers'],2,['AA1'],survey-slider,crackers,AA1
443,s110,68,70,59,74,radio,0,0,0,1,228853,['lightbulbs'],3,['EI1'],survey-slider,lightbulbs,EI1
444,s111,95,95,98,98,radio,0,0,1,0,115978,['lightbulbs'],0,['AI1'],survey-slider,lightbulbs,AI1
445,s111,98,100,98,99,radio,0,1,0,1,58148,['strawberries'],1,['EA1'],survey-slider,strawberries,EA1
446,s111,100,98,98,100,radio,1,0,1,0,78657,['knives'],2,['AA1'],survey-slider,knives,AA1
447,s111,96,100,96,99,radio,0,1,0,1,76082,['crackers'],3,['EI1'],survey-slider,crackers,EI1
448,s112,97,99,95,94,radio,1,0,1,0,25687,['strawberries'],0,['AI1'],survey-slider,strawberries,AI1
449,s112,93,92,95,94,radio,0,1,0,1,48929,['crackers'],1,['AA1'],survey-slider,crackers,AA1
450,s112,89,98,91,95,radio,1,0,1,0,20103,['lightbulbs'],2,['EA1'],survey-slider,lightbulbs,EA1
451,s112,95,93,100,86,radio,0,1,0,1,37446,['knives'],3,['EI1'],survey-slider,knives,EI1
452,s113,30,21,97,100,radio,0,0,1,1,136288,['knives'],0,['AI1'],survey-slider,knives,AI1
453,s113,70,27,91,71,radio,1,0,1,1,53871,['crackers'],1,['AA1'],survey-slider,crackers,AA1
454,s113,100,39,97,66,radio,1,0,1,0,50450,['lightbulbs'],2,['EI1'],survey-slider,lightbulbs,EI1
455,s113,56,51,98,45,radio,0,1,1,0,39278,['strawberries'],3,['EA1'],survey-slider,strawberries,EA1
456,s114,99,97,97,100,radio,0,1,0,1,76355,['strawberries'],0,['EA1'],survey-slider,strawberries,EA1
457,s114,97,95,97,66,radio,0,0,1,1,85867,['knives'],1,['AI1'],survey-slider,knives,AI1
458,s114,97,99,100,97,radio,0,1,1,1,66028,['lightbulbs'],2,['EI1'],survey-slider,lightbulbs,EI1
459,s114,97,100,97,91,radio,1,0,1,0,73060,['crackers'],3,['AA1'],survey-slider,crackers,AA1
460,s115,100,100,55,100,radio,0,0,1,1,197621,['strawberries'],0,['EI1'],survey-slider,strawberries,EI1
461,s115,99,97,96,95,radio,1,0,0,0,40081,['lightbulbs'],1,['EA1'],survey-slider,lightbulbs,EA1
462,s115,95,94,100,69,radio,0,0,1,1,39803,['crackers'],2,['AI1'],survey-slider,crackers,AI1
463,s115,95,93,61,96,radio,1,0,1,0,23855,['knives'],3,['AA1'],survey-slider,knives,AA1
464,s116,100,93,100,51,radio,0,0,1,0,104597,['strawberries'],0,['AI1'],survey-slider,strawberries,AI1
465,s116,93,96,97,97,radio,0,1,0,0,68132,['crackers'],1,['EA1'],survey-slider,crackers,EA1
466,s116,99,96,93,94,radio,1,0,0,0,47210,['knives'],2,['AA1'],survey-slider,knives,AA1
467,s116,95,96,59,95,radio,0,0,0,0,77327,['lightbulbs'],3,['EI1'],survey-slider,lightbulbs,EI1
468,s117,99,99,100,97,radio,1,0,1,1,126413,['strawberries'],0,['EI1'],survey-slider,strawberries,EI1
469,s117,98,97,96,64,radio,1,0,1,0,90920,['crackers'],1,['EA1'],survey-slider,crackers,EA1
470,s117,94,69,96,93,radio,1,0,1,0,95982,['knives'],2,['AI1'],survey-slider,knives,AI1
471,s117,96,95,98,95,radio,1,0,1,0,88243,['lightbulbs'],3,['AA1'],survey-slider,lightbulbs,AA1
472,s118,98,75,12,69,radio,0,1,0,1,64600,['strawberries'],0,['EA1'],survey-slider,strawberries,EA1
473,s118,59,2,100,84,radio,1,0,1,0,45863,['knives'],1,['AI1'],survey-slider,knives,AI1
474,s118,87,51,98,96,radio,0,0,1,1,71943,['lightbulbs'],2,['EI1'],survey-slider,lightbulbs,EI1
475,s118,97,85,93,88,radio,1,0,1,0,36547,['crackers'],3,['AA1'],survey-slider,crackers,AA1
476,s119,100,100,100,100,radio,1,0,1,0,84022,['crackers'],0,['AA1'],survey-slider,crackers,AA1
477,s119,100,57,58,100,radio,0,0,0,1,139924,['strawberries'],1,['EI1'],survey-slider,strawberries,EI1
478,s119,100,100,100,100,radio,0,0,1,0,121085,['lightbulbs'],2,['AI1'],survey-slider,lightbulbs,AI1
479,s119,100,98,100,100,radio,0,1,1,1,95826,['knives'],3,['EA1'],survey-slider,knives,EA1
