premise_1,premise_2,conclusion,n,empirical_n,empirical_stat,ci_lower,mean,ci_upper,conclusion_quantifier,model,model_lower,model_mean,model_upper
All;A;B,All;C;B,NVC;,61,61,0.43884892086330934,0.3545908346972177,0.43815585245564237,0.518599033816425,NVC,PHM-Group,0,0,0
All;A;B,All;C;B,Some not;A;C,3,3,0.02158273381294964,0.006747687284600037,0.023267015120132416,0.04827586206896552,Some not,mReasoner-Indiv,0,0,0
All;A;B,All;C;B,Some not;A;C,3,3,0.02158273381294964,0.006747687284600037,0.023267015120132416,0.04827586206896552,Some not,PHM-Indiv,0,0,0
All;A;B,All;C;B,Some not;A;C,3,3,0.02158273381294964,0.006747687284600037,0.023267015120132416,0.04827586206896552,Some not,mReasoner-Group,0,0,0
All;A;B,All;C;B,Some not;A;C,3,3,0.02158273381294964,0.006747687284600037,0.023267015120132416,0.04827586206896552,Some not,PHM-Group,0,0,0
All;A;B,All;C;B,Some not;C;A,1,1,0.007194244604316547,0.006289308176100629,0.011030337167879808,0.02448750561125243,Some not,mReasoner-Indiv,0,0,0
All;A;B,All;C;B,Some not;C;A,1,1,0.007194244604316547,0.006289308176100629,0.011030337167879808,0.02448750561125243,Some not,PHM-Indiv,0,0,0
All;A;B,All;C;B,Some not;C;A,1,1,0.007194244604316547,0.006289308176100629,0.011030337167879808,0.02448750561125243,Some not,mReasoner-Group,0,0,0
All;A;B,All;C;B,Some not;C;A,1,1,0.007194244604316547,0.006289308176100629,0.011030337167879808,0.02448750561125243,Some not,PHM-Group,0,0,0
All;A;B,All;C;B,Some;A;C,9,9,0.06474820143884892,0.0260841332580463,0.06338009906348532,0.10656519834814164,Some,mReasoner-Indiv,0,0,0
All;A;B,All;C;B,Some;A;C,9,9,0.06474820143884892,0.0260841332580463,0.06338009906348532,0.10656519834814164,Some,PHM-Indiv,0.006756756756756757,0.02328317003593072,0.05185185185185185
All;A;B,All;C;B,Some;A;C,9,9,0.06474820143884892,0.0260841332580463,0.06338009906348532,0.10656519834814164,Some,mReasoner-Group,0,0,0
All;A;B,All;C;B,Some;A;C,9,9,0.06474820143884892,0.0260841332580463,0.06338009906348532,0.10656519834814164,Some,PHM-Group,0,0,0
All;A;B,All;C;B,Some;C;A,5,5,0.03597122302158273,0.007626359009946796,0.03539964631552612,0.06899867374005304,Some,mReasoner-Indiv,0,0,0
